,商品名,ショップ名,レビュー本文,星評価
268,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,お値段がもの凄く安いし、プリント柄も気にいったので2枚注文しました。手に取ってみたところそんなに薄い生地でもなく職場が暑い所なのでちょうど良い感じです。 主人も欲しいとの事で新たにまた2枚注文しました。 後からのはまだ届いていませんが楽しみにしています。,5
269,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,子供との親子コーデ用に購入しました。 子供が外遊びや食事で良く汚すので、汚れが目立たないカーキ色を選択。 大人用の方が若干、色が薄いですが、許容範囲です。,5
270,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,身長175センチ、体重75キロ がっちり体型です。XLサイズを購入しました。配色がいいですね。この品質でこの値段なら買いですね！違うデザインも購入予定です。,5
271,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,商品届きました。商品はコスパからみたらペラペラでもなく、悪くないんですがクビの後ろのタグの材質が硬いからチクチクしてカドを落とすかタグを切らないと着れませんでした。また購入から発送まで時間がかかりすぎで、同じ日に沖縄の物産を買いましたが、2日後には発送作業は終わってました。,3
272,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,子供とのペアtシャツが欲しくて購入しました。生地もしっかりしていて着やすいです。プリントかわいく子供も喜んできています。,5
273,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,下が写るほどペラペラでした。 これ、着れないかも。,2
274,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,身巾は細めで着丈は長めだと思いました。 安いのに生地がしっかりしていて着心地も良いです。,5
275,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,生地も薄すぎず着心地がよくてもっと欲しくなりました。 安いので部屋着にもいいと思います。,5
276,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,値段が安かったから期待して無かったけど 生地も悪く無いし来やすくて、洗ってもヨレる事も無く又リピします。メンズのTシャツは着やすくて良いですね❗️,5
277,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,発送も早く値段も破格で商品のクオリティもとても良かった また返答も直ぐにして頂き気持ちの良いやりとりができました,5
278,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,とにかく安い 見た目もかわいいです。 パジャマ＆ご近所の買い物に行くのに着てます。 この値段なんで、生地はちょっと薄いです。 何回も洗濯していますが、全然大丈夫です。 梱包も丁寧な状態で届きました。,5
279,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,生地は薄い感じがしましたが、デザインも多数ありとても満足しています。またぜひ購入したいと思います。,5
280,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,生地はペラペラということはなく、価格からすると十分だと感じました。とにかく気軽に洗濯することが出来るのでよかったです。,5
281,プリントTシャツ メンズ 半袖 夏 アメカジ ストリート カジュアル ロゴ 親子 ペア アメリカ 綿 100% お揃い 家族 S M L LL,CharaBasket,思ったより薄い生地でした。 白Tシャツは、下に着る物を気をつけた方が良いです。 綿100％なので洗濯すると少し縮む事を考えて、大きめを購入しました。 子供とお揃いを楽しみます。 お安く買えて良かったです。,3
282,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS436,dickies,生地が丈夫でしっかりしている所と首周りも伸びにくい加工がしてあり非常に気に入りました。洗濯後もくたびれにくいためオススメです。,5
283,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS437,dickies,セールでお安く購入できたからラッキーでした。 すぐに食べこぼしするから、白Tシャツは息子と主人に買いました。,4
284,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS438,dickies,生地もしっかりしてるので息子用に購入しました。デザインもシンプル、値段もお手頃、大きめのサイズだったので、太めの息子も気に入ったようです。,5
285,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS439,dickies,オシャレな箱での発送をして頂きました(^^) 梱包もとても丁寧な梱包で良かったです♪ TシャツはLサイズを購入しましたが日本サイズでいえばXLぐらいだと思います。 ダボっと着たい息子の為に大きめを購入して正解でした。 生地もしっかりしていて凄く良かったです♪,5
286,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS440,dickies,ポケットについてるブランドマークが外側に寄りすぎです,4
287,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS441,dickies,生地がしっかりしていて思ったよりはいいのですが、やはり着ていると暑いです。,4
288,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS442,dickies,オーバーサイズはトレンドになり、今や定番化しつつあります。 こちらの商品はUSサイズになりますので、トレンドを押さえれます。 Mサイズでも、日本のXLに値します。 是非、試してみてください‼︎ また、生地感や胸ポケが付いてますし、コスパも優れてます。,5
289,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS443,dickies,シンプルで可愛い😍 もっと欲しいです😊👌👍,5
290,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS444,dickies,全体的にユッタリでよい。機会があれば又利用します。,4
291,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS445,dickies,お腹が 出ている為 普段は ＬかＸＬを 着てるのですが Mで 少し ゆったり目で 着れて 丁度 良かったです 他の 色も 何枚か 購入したいのですが… 在庫が 無いのが 残念です また入荷しましたら 買いたいです,5
292,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS446,dickies,以前にも色違いを購入したことがあるのでものに対してはまったく問題なく納得でした。,5
293,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS447,dickies,注文から中2日で届きました。 迅速な対応ありがとうございました。,5
294,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS448,dickies,良い生地ですね。１７６センチ９０キロでＸＬで少し大きく良い感じ,4
295,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS449,dickies,身長１７５㎝、６３Ｋ。Ｍサイズで丁度良い感じ。ピッタリが好みだとＳサイズかな。,3
296,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS450,dickies,すこし大きかったですが、デザインはとてもいいです！,4
297,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS451,dickies,生地もしっかりしているし、ゆったりとしたサイズ感のシャツを探していたので満足です。胸ポケが今年らしくてより良かったです。,5
298,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS452,dickies,丁度いい感じでした！ 現場で自慢しまーす(^o^),5
299,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS453,dickies,着心地も良く、スモーカーには、ポケットは必須ですね。,5
300,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS454,dickies,色は思っていたとおりのものでした。サイズはLを注文したのですが、一緒に購入した米国Lサイズのものと同じ感じでしたので日本ではXLサイズ相当だと思います。普段XLサイズを着るのでちょうどよく大変満足してます。,5
301,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ ビッグ アメカジ ストリート USAモデル WS455,dickies,思ったよりも大きかったです、普段3L着てますがXLでも大きすぎました,5
302,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,すごくかっこいいし誰でもスマートに着ることができるのでおすすめです,5
303,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,めっちゃ涼しい素材だった。軽いし合わせやすいとおもいます！,5
304,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,夏にピッタリで爽やかな印象になります！,5
305,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,涼しげでお洒落で良かった！ただ透けるので1枚では着れないです。,4
306,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,よく着こなせばすごくオシャレな服になります。スタイル良い方はMくらいが緩く着られていいと思います、ガタイの良い人はＬから上がいいかも,5
307,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,可愛いいいいいいいいい,5
308,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,生地は薄いけど中にタンクトップ着て着用します,5
309,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,めちゃめちゃ気に入った。薄すぎず夏乗り切れそう,5
310,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,生地もちょうどいい薄さで着心地もよさそうです。,5
311,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,デコボコのあるサラッサラサラの生地。とても涼しそう。,5
312,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,今回も素敵な商品とめぐりあい、心から満足感しています。どれもお気に入りてす。 こちらの都合で再配達になりましたが対応も良く有難かったです。,5
313,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,夏にぴったりでした。,5
314,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,甚兵衛のような生地で夏には涼しくてちょうどいい,4
315,Manfinity Homme 男性 縞模様プリント ポロシャツ,shein,袋の中でくちゃくちゃになっていて、シワだらけ、そのまま着れず、クリーニングに出しました。もう少し商品を丁寧に扱ってほしいと思う。,1
316,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,夫の誕生日プレゼントに買ってみました！生地はすごく涼し気でサラサラしてて、これからの季節に重宝しそう！袖部分写真では折れてる？と思ってたけど、全く折れてなかった。変にペラペラするの嫌だから縫い付けて固定しようと思ってたけど、折れてないならこっちの方が断然いい！買って良かった~！雰囲気も大人っぽく着こなせて良い感じ。身長体重以外てきとーですー。,5
317,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,生地は伸縮性がありしっかりした作りで大満足です。色違いも買います！,5
318,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,さらっとしていい生地でした！旦那も喜んでる！普段MなのでSでぴったり。サイズ適当です。,5
319,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,肌触りがよく見た目通りでいい感じ,5
320,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,商品の品質は肌さわりがいいです。すべすべしている。想像通りです。異臭はしませんが、特段いい匂いもしません。,5
321,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,コスパ最強！期待どおりの商品でした！サイズも丁度よかったです。,5
322,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,伸縮性のある生地でめっちゃオシャレ！,5
323,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,サラサラしてて涼しげな素材です。,5
324,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,生地も縫製もしっかりしてました,5
325,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,材質がよく、とても良かったです！！配送も思ったより早かったです。,5
326,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,シャツが伸びる！触り心地もいい！,5
327,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,製品の品質: 写真通りの色！かわいい！,5
328,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,ストレッチが効いていて、グリーンも落ち着いた色味。サイズは日本のLぐらいと表記してありましたが、実際は少しMよりな感じです。,4
329,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,着心地も良く薄手で夏に重宝,5
330,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,肌さわりもよく、思っていたよりも良い,4
331,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,色がイメージとは違うかな 写真では白が混ざったような青ですが 実際は青がもう少し濃いめです,4
332,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,ストレッチような？クシュクシュ？の素材なのかな？伸びる生地なので細身で来たらピチッとしました。普通の生地だと思ってましたね。,2
333,Homme 男性 無地柄 ボタンアップ Tシャツなし シャツ,shein,サイズは合ってましたが、ややピッタリめのデザインかと。,3
334,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,なんか色が濃くてダサかったのです、あんまり綺麗めじゃないので残念でした,5
335,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,生地もしっかりしてて可愛い！！！！！！！,5
336,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,ネクタイコーデのためにカラーシャツ買った！パールとタイ合わせる♪,5
337,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,薄すぎず分厚くなくとても着やすい生地だと思います。身長、体重以外はてきとうです,5
338,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,これは、もー想像通りですね 写真そのまんまです 激かわですね弟も気に入ってくれた,5
339,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,色も見たまんまの色で肌の黒い人が着たらすごい似合うとおもいます笑,5
340,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,まじで可愛いし、色もたくさんあるから選びやすい！緑がおすすめかも！しっかりした襟でいい！,5
341,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,渋い色合いでカラーパンツやジーンズに合わせやすい！カラーバリエーションも豊富でめっちゃいい！,5
342,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,ちょっと大きいけど綺麗,5
343,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,少し色が思っていたのと違かったでしたが可愛いです！色々な服に合わせることができます！,5
344,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,思っていたより色が明るかったけどかわいい！！,5
345,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,とても良すぎる〜！！！！！！！！！！！！！！！！,5
346,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,めちゃくちゃよかった,5
347,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,写真よりちょっと暗めの色だけどすごいいいと思う。サイズもいい感じ！オシャレに着こなせる,5
348,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,すばらしいぜこれビビった！安く見えないしいい！,5
349,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,結構デザインもかっこよくて、コスパも良い。,5
350,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,シワ伸ばせばいい感じです。予備のボタンも付いていました。色味はモデル着用画像の通りです。,5
351,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,合わせやすいし色もきれい生地も薄くて涼しい,5
352,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,少し薄目の生地ですが夏にぴったりでとても可愛い！ただ、シワになりやすいのでアイロン必須です！,5
353,Manfinity Basics 男性 コットン ドロップショルダー 無地柄 シャツ,shein,意外に色が薄かったけれど、生地はしっかりしてました。,4
354,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,とても良かったです！,5
355,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,とてもいい素材で着やすいと思います。,5
356,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,めっちゃかわいい❤️愛用しますわ😘,5
357,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,写真通りです。色も可愛くて大満足してます！思ったより生地としっかりしてる！！,5
358,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,女ですがもうちょっとゆったりきたかったのでもう一個大きいの買えばよかったと思いました,5
359,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,暑くなっていく時期にピッタリな生地だと思う！,5
360,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,ピンク可愛い！生地もしっかりしてて良き,5
361,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,かわいい、男でも全然きれる,5
362,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,春服にちょうどいい薄さでした,5
363,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,夏場にピッタリの生地で最高！,5
364,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,街でこれ着て歩いたらシーインで見てなくてもシーインで買ったのかな？って思われそうなその辺の店舗では見かけない素材の生地感と色味。色は写真通りで可愛かったけど私はこれは外では着れないとなぜか思いました。,3
365,Manfinity Hypemode 男性 文字パッチ コントラストカラー ドロップショルダー ポロシャツ,shein,思ったよりもピンクで少し印象と違った,3
366,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,いい感じです！かわいい！,5
367,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,シンプルにデザインがかわいい白だから汚れとか気をつけたいです,5
368,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,生地は薄いけど柄がちょーかわいい身長体重以外適当,5
369,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,柄が可愛い！夏にピッタリです！丈感はもう少し長かったらもっとストリート系の服似合うかなーって思いました,5
370,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,デザインめっちゃ可愛くて良かったけど意外と生地薄目だしちょっと透けるかな？って感じ,5
371,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,白なので黒の下着を着たら透けちゃうかもしれません。プリントもめちゃくちゃ可愛いです！,4
372,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,絵柄の部分はツルツルしてました！とても可愛い！,5
373,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,画像通りで生地もいい！ やや透けるけど、伸縮性があって動きやすい！,5
374,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,めっちゃかわいい！写真通り！！,5
375,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,結構プリントのところがやすっぽい？かも、、💦でも可愛いから着てる（笑）,4
376,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,めっちゃ薄いけど気にしなきゃ全然着れる、プリント取れる感じもしない、結構デカめ、オーバーサイズで着たい人にオススメ,4
377,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,薄いかもしれないけどかわいいー！修学旅行のときに着るつもり！！,5
378,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,お花の色味と顔に惹かれて即購入しました！,5
379,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,メチャクチャ可愛い。けどメチャクチャ生地がペラペラやから気をつけて！あとメンズやからデブ女でも結構ゆとりある。,4
380,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,とてもかわいい！！！恋に落ちているうう,5
381,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,プリントが可愛すぎる！また買いたいと思います,5
382,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,生地は思ってたよりやわらかいTシャツ,5
383,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,写真通りかわいい！！！オーバーで頼んで正解だった！,5
384,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,好きな素材！柔らかくてまあテロテロだけど骨ストでも細く見える素材！プリントも可愛い,5
385,ROMWE X CROC 男性 花柄プリント Tシャツ,shein,薄すぎず着心地も悪くないです,4
386,メンズ刺繍柄Tシャツ,shein,めっちゃ使えそうか！！！確定でいっぱいきるな！,5
387,メンズ刺繍柄Tシャツ,shein,刺繍でとてもこの値段と思えません！生地もペラペラでなく長く使えそうです！,5
388,メンズ刺繍柄Tシャツ,shein,大きさもいい感じ、なにより刺繍だから安く見えない‼︎,5
389,メンズ刺繍柄Tシャツ,shein,SHEINにしては生地が他のものより丈夫そうで、オーバーサイズで可愛かった,5
390,メンズ刺繍柄Tシャツ,shein,これ！！めっちゃいいです！！かわいいし生地すごくしっかりしてるし、SHEINだとは思えないくらい高クオリティです！悩んでたら絶対買ってください！ わたしはMでも十分オーバーに着れました！,5
391,メンズ刺繍柄Tシャツ,shein,サイズ感めっちゃいいし、質もいい！100点です！！,5
392,メンズ刺繍柄Tシャツ,shein,こればちかわ！彼氏にめっちゃ褒められた！！ワンピースにもできるかわいさ！！,5
393,メンズ刺繍柄Tシャツ,shein,生地がしっかりしてて良いです！カワイイ！！大きめサイズだと思うのでそのあたり考えた方が良さそうですね！,5
394,メンズ刺繍柄Tシャツ,shein,生地も薄くなくてワンポイントの刺繍がとにかく可愛い！！,5
395,メンズ刺繍柄Tシャツ,shein,カップルで着れる！,5
396,メンズ刺繍柄Tシャツ,shein,思った以上めちゃくちゃ良い！刺繍が大きめでカッコいい。質感画像通り。オーバーサイズです。,5
397,メンズ刺繍柄Tシャツ,shein,生地もしっかりしてて、刺繍なのがかわいい！,5
398,メンズ刺繍柄Tシャツ,shein,コンビニ行くときとか部屋着にいいかわいい！,5
399,メンズ刺繍柄Tシャツ,shein,可愛い色ですよ！写真通りで大満足です！,5
400,メンズ刺繍柄Tシャツ,shein,1番気に入ってます。この夏活躍しそうです,5
401,メンズ刺繍柄Tシャツ,shein,写真通りでめちゃくちゃいい色だしもー完璧,5
402,メンズ刺繍柄Tシャツ,shein,本当に可愛かった！文句なし！,5
403,メンズ刺繍柄Tシャツ,shein,とてもかわいくてきやすかった,5
404,メンズ刺繍柄Tシャツ,shein,気持ち大きめでダボっと着れる感じ👍 ワンポイントの刺繍が可愛い,5
405,メンズ刺繍柄Tシャツ,shein,生地がまっじでいい！これは他の色も欲しくなっちゃう,5
406,男性 カラフルストライブ ドロップショルダーTシャツ,shein,写真通りのものが来ました！自分の身長で写真のように着るならXLがちょうどよかったです！,5
407,男性 カラフルストライブ ドロップショルダーTシャツ,shein,色味も生地の薄さもちょうどいい！,5
408,男性 カラフルストライブ ドロップショルダーTシャツ,shein,ダボって着れて普通にかわいい,5
409,男性 カラフルストライブ ドロップショルダーTシャツ,shein,メンズライクで着たくて買いましたまじで可愛いよオヌヌメ,5
410,男性 カラフルストライブ ドロップショルダーTシャツ,shein,安くておしゃれで可愛いTシャツです！生地はペラペラではなかったです！2枚目の写真わかるかな？うっすら透けるかもだけど大丈夫と思います！マイサイズほぼあってます！XLでオーバーサイズで着てます！,5
411,男性 カラフルストライブ ドロップショルダーTシャツ,shein,良いサイズ感でした！おすすめです！,5
412,男性 カラフルストライブ ドロップショルダーTシャツ,shein,完璧です！よかったです！,5
413,男性 カラフルストライブ ドロップショルダーTシャツ,shein,生地は薄かったけど、夏に最適で良かったです！,5
414,男性 カラフルストライブ ドロップショルダーTシャツ,shein,オーバーサイズで可愛くきれそう。,5
415,男性 カラフルストライブ ドロップショルダーTシャツ,shein,結構丈長めですが、いい感じ！,5
416,男性 カラフルストライブ ドロップショルダーTシャツ,shein,XLですが結構大きいです。でもストリート系には良い感じになりそう。,5
417,男性 カラフルストライブ ドロップショルダーTシャツ,shein,サイズも丁度良かった！ マルチカラー 良き！,5
418,男性 カラフルストライブ ドロップショルダーTシャツ,shein,色は写真通りで、生地も高級感あり柔らかくてとってもいいです！,5
419,男性 カラフルストライブ ドロップショルダーTシャツ,shein,可愛い！なんか高く感じる値段笑素材も悪いことなしサイズ感もとても良し、,5
420,男性 カラフルストライブ ドロップショルダーTシャツ,shein,ボーダー可愛い！！！！！！！！！！！！！,5
421,男性 カラフルストライブ ドロップショルダーTシャツ,shein,色がとても良くて生地が良い！,5
422,男性 カラフルストライブ ドロップショルダーTシャツ,shein,生地がしっかりしていてかわいい。,5
423,男性 カラフルストライブ ドロップショルダーTシャツ,shein,これを着ればは写真のモデルの方のようにイケイケになれます,5
424,男性 カラフルストライブ ドロップショルダーTシャツ,shein,デザイン最高。肌触りも良い,5
425,男性 カラフルストライブ ドロップショルダーTシャツ,shein,ダボッと着れてかっこいいし生地もいいです！,5
426,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,青と緑が混ざったような感じ！合わせやすくてかわいい！,5
427,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,生地薄めで、ポリエステルとかそういう感じの生地。,5
428,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,生地も軽くてしっとりしてて涼しそうだけど、何にせよ合わせにくい,4
429,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,ちょっと薄い生地安いから許す,3
430,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,服屋で売ってそうな素材です！！！なんか、いいかんじ。,4
431,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,非常に良かったです！,5
432,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,とても可愛い！おすすめ！洗濯しても着崩れしないです。,5
433,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,最高でした！最高でした！,5
434,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,ストリート系の格好の時に必要！かわいい。生地は薄めだが、夏も着れそうなのでOK,5
435,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,色味が思ってたより明るめだったけど…イー感じ‼️,5
436,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,かわいい！夫に購入。さっそく着てもらいます,5
437,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,想像通り良かったですよ。,5
438,DAZY 男性 ストライプ ドロップショルダーTシャツ,shein,予想より少し鮮やかやった！,4
439,メンズドロップショルダーレターとファイヤーTシャツ,shein,めちゃめちゃ可愛いです💞💞しっかりとた生地だった〰️サイズはもうひとつ上でも良かったかも,5
440,メンズドロップショルダーレターとファイヤーTシャツ,shein,めっちゃ可愛くて死んだ迷ったら買った方がいい,5
